sku,nombre,marca,modelo,categoria,subcategoria
TA106JG-CHA,Terminal de Anillo - 10mm2 - 6mm - JG10-6,CHAER,JG10-6,Terminales,Cuello Largo
TA166JG-CHA,Terminal de Anillo - 16mm2 - 6mm - JG16-6,CHAER,JG16-6,Terminales,Cuello Largo
TA256JG-CHA,Terminal de Anillo - 25mm2 - 6mm - JG25-6,CHAER,JG25-6,Terminales,Cuello Largo
TA358JG-CHA,Terminal de Anillo - 35mm2 - 8mm - JG35-8,CHAER,JG35-8,Terminales,Cuello Largo
TA508JG-CHA,Terminal de Anillo - 50mm2 - 8mm - JG50-8,CHAER,JG50-8,Terminales,Cuello Largo
TA5010JG-CHA,Terminal de Anillo - 50mm2 - 10mm - JG50-10,CHAER,JG50-10,Terminales,Cuello Largo
TA708JG-CHA,Terminal de Anillo - 70mm2 - 8mm - JG70-8,CHAER,JG70-8,Terminales,Cuello Largo
TA7010JG-CHA,Terminal de Anillo - 70mm2 - 10mm - JG70-10,CHAER,JG70-10,Terminales,Cuello Largo
TA9510JG-CHA,Terminal de Anillo - 95mm2 - 10mm - JG95-10,CHAER,JG95-10,Terminales,Cuello Largo
TA12010JG-CHA,Terminal de Anillo - 120mm2 - 10mm - JG120-10,CHAER,JG120-10,Terminales,Cuello Largo
TA256SC-CHA,Terminal de Anillo - 25mm2 - 6mm - SC25-6,CHAER,SC25-6,Terminales,Cuello Corto
CRD35-CHA,Cortador de Riel DIN - 35mm,CHAER,HRQ01,Herramientas,
CPBBEL25-CHA,Conector para Peine Busbar - Entrada lateral 25mm2,CHAER,TBS25,Conectores,Peine Busbar
CPBBEA25-CHA,Conector para Peine Busbar - Entrada por arriba 25mm2,CHAER,TB25-32W,Conectores,Peine Busbar
CPBBEA25L-CHA,Conector para Peine Busbar - Entrada por arriba 25mm2 - Largo,CHAER,KC-01,Conectores,Peine Busbar
CPBBEA50-CHA,Conector para Peine Busbar - Entrada por arriba 50mm2,CHAER,P50UB,Conectores,Peine Busbar
BT81210P100AV-CHA,Bornera de Tierra - 8x12 - 10 Puntos - 100A - Verde,CHAER,KR0812D,Borneras,Tierra
BNT698P100AD-CHA,Bornera de Neutro Tierra - 6x9 - 8 Puntos - 100A - Desnudo,CHAER,6x9 - 8/1,Borneras,Neutro y Tierra
RS32V2ASSR-RY,Rele Slim 3Vdc a 32vdc - 24Vdc - 2A - SSR - Salida Transistor,RY-ELE,RMC-L/302DA,Rele,Slim - Estado Solido
RES32V40ADA480V-RY,Rele de Estado Solido - 3Vdc a 32Vdc - 40A - DA - 480Vac,RY-ELE,SSR-1 D4840,Rele,Estado Solido
RES220V40AAA380VD-RY,Rele de Estado Solido - 90Vac a 220vac - 40A - AA - 380Vac - Con Disipador,RY-ELE,RG1A4040A,Rele,Estado Solido
